rno	uno	pno	rtitle	rcontent	rstar
11	3	16	제주삼다수그린무라벨 500ml 20개 배송도 빠르고 제품도 만족합니다	제주삼다수그린무라벨 500ml 20개 제품을 직접 사용해보니 기대 이상으로 만족스러웠습니다. 배송도 빠르고 제품 상태도 깔끔해서 좋았습니다. 다음에도 재구매할 생각이 있습니다.	4.5
12	4	23	나랑드사이다_제로 배송도 빠르고 제품도 만족합니다	나랑드사이다_제로 제품이 생각보다 훨씬 괜찮았습니다. 배송 상태도 좋았고 전체적으로 만족도가 높은 제품이었습니다.	5
13	5	144	가위 배송도 빠르고 제품도 만족합니다	가위 제품을 직접 사용해보니 기대 이상으로 만족스러웠습니다. 배송도 빠르고 제품 상태도 깔끔해서 좋았습니다. 다음에도 재구매할 생각이 있습니다.	4.8
14	1	80	헬로키티_휴지 재구매 의사 있을 정도로 좋아요	헬로키티_휴지 제품을 사용하면서 불편한 점 없이 만족스럽게 사용했습니다. 디자인도 괜찮고 실용성도 좋아서 자주 사용할 것 같습니다.	4.6
15	4	127	피카츄무드등 가성비 좋아서 추천하고 싶어요	피카츄무드등 제품은 가격 대비 품질이 좋아서 만족했습니다. 사용하기 편리했고 마감도 괜찮아서 주변 사람들에게 추천하고 싶습니다.	4.7
16	3	137	아스파라거스식물 배송도 빠르고 제품도 만족합니다	아스파라거스식물 제품은 가격 대비 품질이 좋아서 만족했습니다. 사용하기 편리했고 마감도 괜찮아서 주변 사람들에게 추천하고 싶습니다.	4.5
17	5	18	우유 배송도 빠르고 제품도 만족합니다	우유 제품을 사용하면서 불편한 점 없이 만족스럽게 사용했습니다. 디자인도 괜찮고 실용성도 좋아서 자주 사용할 것 같습니다.	4.3
18	2	118	휴대용의류건조기 품질이 좋아서 만족했습니다	휴대용의류건조기 제품을 사용하면서 불편한 점 없이 만족스럽게 사용했습니다. 디자인도 괜찮고 실용성도 좋아서 자주 사용할 것 같습니다.	4.5
19	1	19	홍초_석류히비스커스 가성비 좋아서 추천하고 싶어요	홍초_석류히비스커스 제품을 사용하면서 불편한 점 없이 만족스럽게 사용했습니다. 디자인도 괜찮고 실용성도 좋아서 자주 사용할 것 같습니다.	4.2
20	4	145	분무기스프레이 가성비 좋아서 추천하고 싶어요	분무기스프레이 제품은 실제로 받아보니 사진과 거의 동일했고 품질도 좋아서 만족했습니다. 가성비 좋은 제품으로 추천할 만합니다.	4.7
21	3	9	팔각 정말 만족하면서 사용 중입니다	팔각 제품은 가격 대비 품질이 좋아서 만족했습니다. 사용하기 편리했고 마감도 괜찮아서 주변 사람들에게 추천하고 싶습니다.	4.5
22	1	39	파인애플 가성비 좋아서 추천하고 싶어요	파인애플 제품은 가격 대비 품질이 좋아서 만족했습니다. 사용하기 편리했고 마감도 괜찮아서 주변 사람들에게 추천하고 싶습니다.	5
23	3	48	폰즈_클리어쉐이스 정말 만족하면서 사용 중입니다	폰즈_클리어쉐이스 제품은 가격 대비 품질이 좋아서 만족했습니다. 사용하기 편리했고 마감도 괜찮아서 주변 사람들에게 추천하고 싶습니다.	4.6
24	1	137	아스파라거스식물 가성비 좋아서 추천하고 싶어요	아스파라거스식물 제품을 사용하면서 불편한 점 없이 만족스럽게 사용했습니다. 디자인도 괜찮고 실용성도 좋아서 자주 사용할 것 같습니다.	4.9
25	1	37	토마토 재구매 의사 있을 정도로 좋아요	토마토 제품을 직접 사용해보니 기대 이상으로 만족스러웠습니다. 배송도 빠르고 제품 상태도 깔끔해서 좋았습니다. 다음에도 재구매할 생각이 있습니다.	4.2
26	4	124	아크릴무드등 생각보다 훨씬 괜찮은 제품이네요	아크릴무드등 제품을 사용하면서 불편한 점 없이 만족스럽게 사용했습니다. 디자인도 괜찮고 실용성도 좋아서 자주 사용할 것 같습니다.	4.7
27	1	70	락스와세제 배송도 빠르고 제품도 만족합니다	락스와세제 제품은 가격 대비 품질이 좋아서 만족했습니다. 사용하기 편리했고 마감도 괜찮아서 주변 사람들에게 추천하고 싶습니다.	4.8
28	1	106	미니세탁기 정말 만족하면서 사용 중입니다	미니세탁기 제품을 사용하면서 불편한 점 없이 만족스럽게 사용했습니다. 디자인도 괜찮고 실용성도 좋아서 자주 사용할 것 같습니다.	5
29	4	12	아카시아꿀 생각보다 훨씬 괜찮은 제품이네요	아카시아꿀 제품이 생각보다 훨씬 괜찮았습니다. 배송 상태도 좋았고 전체적으로 만족도가 높은 제품이었습니다.	4.3
30	1	29	국산콩두유 배송도 빠르고 제품도 만족합니다	국산콩두유 제품을 사용하면서 불편한 점 없이 만족스럽게 사용했습니다. 디자인도 괜찮고 실용성도 좋아서 자주 사용할 것 같습니다.	4.9
31	1	125	학습용스탠드 가성비 좋아서 추천하고 싶어요	학습용스탠드 제품은 가격 대비 품질이 좋아서 만족했습니다. 사용하기 편리했고 마감도 괜찮아서 주변 사람들에게 추천하고 싶습니다.	4.3
32	2	146	식물지지대 생각보다 훨씬 괜찮은 제품이네요	식물지지대 제품을 직접 사용해보니 기대 이상으로 만족스러웠습니다. 배송도 빠르고 제품 상태도 깔끔해서 좋았습니다. 다음에도 재구매할 생각이 있습니다.	4.9
33	1	25	펩시제로 재구매 의사 있을 정도로 좋아요	펩시제로 제품은 가격 대비 품질이 좋아서 만족했습니다. 사용하기 편리했고 마감도 괜찮아서 주변 사람들에게 추천하고 싶습니다.	4.8
34	2	18	우유 정말 만족하면서 사용 중입니다	우유 제품을 직접 사용해보니 기대 이상으로 만족스러웠습니다. 배송도 빠르고 제품 상태도 깔끔해서 좋았습니다. 다음에도 재구매할 생각이 있습니다.	4.7
35	4	107	세탁기 배송도 빠르고 제품도 만족합니다	세탁기 제품을 직접 사용해보니 기대 이상으로 만족스러웠습니다. 배송도 빠르고 제품 상태도 깔끔해서 좋았습니다. 다음에도 재구매할 생각이 있습니다.	4.3
36	2	35	블루베리 배송도 빠르고 제품도 만족합니다	블루베리 제품을 사용하면서 불편한 점 없이 만족스럽게 사용했습니다. 디자인도 괜찮고 실용성도 좋아서 자주 사용할 것 같습니다.	4.2
37	4	120	4방향신발건조기 가성비 좋아서 추천하고 싶어요	4방향신발건조기 제품이 생각보다 훨씬 괜찮았습니다. 배송 상태도 좋았고 전체적으로 만족도가 높은 제품이었습니다.	5
38	5	150	원예가위집 가성비 좋아서 추천하고 싶어요	원예가위집 제품이 생각보다 훨씬 괜찮았습니다. 배송 상태도 좋았고 전체적으로 만족도가 높은 제품이었습니다.	5
39	2	42	상주곶감 생각보다 훨씬 괜찮은 제품이네요	상주곶감 제품은 가격 대비 품질이 좋아서 만족했습니다. 사용하기 편리했고 마감도 괜찮아서 주변 사람들에게 추천하고 싶습니다.	4.5
40	5	49	도도클렌징_바디워시 정말 만족하면서 사용 중입니다	도도클렌징_바디워시 제품은 가격 대비 품질이 좋아서 만족했습니다. 사용하기 편리했고 마감도 괜찮아서 주변 사람들에게 추천하고 싶습니다.	4.8
41	1	11	마인드풀_클렌즈 품질이 좋아서 만족했습니다	마인드풀_클렌즈 제품은 실제로 받아보니 사진과 거의 동일했고 품질도 좋아서 만족했습니다. 가성비 좋은 제품으로 추천할 만합니다.	4.3
42	1	146	식물지지대 정말 만족하면서 사용 중입니다	식물지지대 제품은 실제로 받아보니 사진과 거의 동일했고 품질도 좋아서 만족했습니다. 가성비 좋은 제품으로 추천할 만합니다.	4.5
43	1	65	홈스타_핑크파워 정말 만족하면서 사용 중입니다	홈스타_핑크파워 제품을 직접 사용해보니 기대 이상으로 만족스러웠습니다. 배송도 빠르고 제품 상태도 깔끔해서 좋았습니다. 다음에도 재구매할 생각이 있습니다.	4.6
44	4	62	프릴_주방세제 재구매 의사 있을 정도로 좋아요	프릴_주방세제 제품은 실제로 받아보니 사진과 거의 동일했고 품질도 좋아서 만족했습니다. 가성비 좋은 제품으로 추천할 만합니다.	4.8
45	1	136	해바라기_키우기키트 정말 만족하면서 사용 중입니다	해바라기_키우기키트 제품이 생각보다 훨씬 괜찮았습니다. 배송 상태도 좋았고 전체적으로 만족도가 높은 제품이었습니다.	4.3
46	5	88	크리넥스_실크소프트 품질이 좋아서 만족했습니다	크리넥스_실크소프트 제품을 직접 사용해보니 기대 이상으로 만족스러웠습니다. 배송도 빠르고 제품 상태도 깔끔해서 좋았습니다. 다음에도 재구매할 생각이 있습니다.	4.2
47	2	110	건조기필터 배송도 빠르고 제품도 만족합니다	건조기필터 제품은 가격 대비 품질이 좋아서 만족했습니다. 사용하기 편리했고 마감도 괜찮아서 주변 사람들에게 추천하고 싶습니다.	5
48	1	65	홈스타_핑크파워 배송도 빠르고 제품도 만족합니다	홈스타_핑크파워 제품을 직접 사용해보니 기대 이상으로 만족스러웠습니다. 배송도 빠르고 제품 상태도 깔끔해서 좋았습니다. 다음에도 재구매할 생각이 있습니다.	5
49	2	13	마그네슘_비타민B6 품질이 좋아서 만족했습니다	마그네슘_비타민B6 제품을 직접 사용해보니 기대 이상으로 만족스러웠습니다. 배송도 빠르고 제품 상태도 깔끔해서 좋았습니다. 다음에도 재구매할 생각이 있습니다.	4.9
50	2	15	애플사이다비네거 배송도 빠르고 제품도 만족합니다	애플사이다비네거 제품은 실제로 받아보니 사진과 거의 동일했고 품질도 좋아서 만족했습니다. 가성비 좋은 제품으로 추천할 만합니다.	4.3
51	3	140	다육이받침대 생각보다 훨씬 괜찮은 제품이네요	다육이받침대 제품을 사용하면서 불편한 점 없이 만족스럽게 사용했습니다. 디자인도 괜찮고 실용성도 좋아서 자주 사용할 것 같습니다.	4.5
52	3	107	세탁기 가성비 좋아서 추천하고 싶어요	세탁기 제품은 가격 대비 품질이 좋아서 만족했습니다. 사용하기 편리했고 마감도 괜찮아서 주변 사람들에게 추천하고 싶습니다.	5
53	3	4	홍삼진고바이탈스틱 배송도 빠르고 제품도 만족합니다	홍삼진고바이탈스틱 제품이 생각보다 훨씬 괜찮았습니다. 배송 상태도 좋았고 전체적으로 만족도가 높은 제품이었습니다.	4.3
54	2	36	포도 가성비 좋아서 추천하고 싶어요	포도 제품이 생각보다 훨씬 괜찮았습니다. 배송 상태도 좋았고 전체적으로 만족도가 높은 제품이었습니다.	5
55	4	91	HDMI_분배기 재구매 의사 있을 정도로 좋아요	HDMI_분배기 제품이 생각보다 훨씬 괜찮았습니다. 배송 상태도 좋았고 전체적으로 만족도가 높은 제품이었습니다.	4.6
56	1	105	무선디스플레이동글 품질이 좋아서 만족했습니다	무선디스플레이동글 제품을 직접 사용해보니 기대 이상으로 만족스러웠습니다. 배송도 빠르고 제품 상태도 깔끔해서 좋았습니다. 다음에도 재구매할 생각이 있습니다.	4.7
57	5	110	건조기필터 정말 만족하면서 사용 중입니다	건조기필터 제품을 사용하면서 불편한 점 없이 만족스럽게 사용했습니다. 디자인도 괜찮고 실용성도 좋아서 자주 사용할 것 같습니다.	4.9
